instruction,intent,category,response
Please help me resolve a payment methods problem.,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
Can you explain the account recovery process?,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
What is the company policy for account recovery?,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with billing disputes for order 101730,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
What is the company policy for subscription cancellation?,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
Please help me resolve a billing disputes problem.,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
Can you explain the refund policy process?,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
Please help me resolve a data privacy problem.,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with billing disputes for order 104785,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with password reset for order 103710,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
Can you explain the password reset process?,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
What is the company policy for shipping delays?,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
What is the company policy for escalation matrix?,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
What is the company policy for technical troubleshooting?,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
My issue is about technical troubleshooting; what should I do next?,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
Can you explain the working hours process?,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with billing disputes for order 103290,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with working hours for order 103470,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
Can you explain the escalation matrix process?,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with technical troubleshooting for order 100505,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with billing disputes for order 101600,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
Can you explain the technical troubleshooting process?,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
Please help me resolve a escalation matrix problem.,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with escalation matrix for order 101095,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
Please help me resolve a account recovery problem.,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
What is the company policy for data privacy?,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
My issue is about password reset; what should I do next?,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
Can you explain the subscription cancellation process?,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with account recovery for order 103315,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with order tracking for order 103475,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
Please help me resolve a subscription cancellation problem.,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with payment methods for order 100240,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with subscription cancellation for order 103975,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with product return for order 104245,product_return,RETURNS,Use the product return SOP and provide the correct next step.
Please help me resolve a working hours problem.,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with account recovery for order 102925,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 100015,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with data privacy for order 104955,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with technical troubleshooting for order 100765,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with billing disputes for order 104720,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
What is the company policy for product return?,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with escalation matrix for order 100315,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
My issue is about escalation matrix; what should I do next?,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
Can you explain the data privacy process?,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
Please help me resolve a technical troubleshooting problem.,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with payment methods for order 104660,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with technical troubleshooting for order 104860,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with account recovery for order 102275,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with escalation matrix for order 100705,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with password reset for order 101630,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
Can you explain the product return process?,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with working hours for order 101520,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
My issue is about refund policy; what should I do next?,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with password reset for order 104945,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with data privacy for order 105020,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
What is the company policy for order tracking?,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with data privacy for order 100080,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with order tracking for order 101720,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with payment methods for order 102970,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
Please help me resolve a order tracking problem.,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with data privacy for order 103655,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with account recovery for order 105265,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
What is the company policy for working hours?,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with technical troubleshooting for order 101090,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with shipping delays for order 100230,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with data privacy for order 101835,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with order tracking for order 104255,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with payment methods for order 103425,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with order tracking for order 100290,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with order tracking for order 103605,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with product return for order 100410,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with order tracking for order 101200,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with billing disputes for order 101210,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with escalation matrix for order 101615,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with escalation matrix for order 104345,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with payment methods for order 101020,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with data privacy for order 104370,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with account recovery for order 100065,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with escalation matrix for order 101420,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with product return for order 100800,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 104235,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with escalation matrix for order 102005,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with working hours for order 105030,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with order tracking for order 103995,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with order tracking for order 103670,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 100465,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with subscription cancellation for order 100530,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with account recovery for order 101755,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with technical troubleshooting for order 103235,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
My issue is about account recovery; what should I do next?,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with shipping delays for order 101335,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with refund policy for order 105130,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with payment methods for order 103035,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 101425,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with payment methods for order 104400,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with working hours for order 100805,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with data privacy for order 102940,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with payment methods for order 103165,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 102900,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 101025,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with technical troubleshooting for order 104015,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with product return for order 103790,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with data privacy for order 103070,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with refund policy for order 103375,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with shipping delays for order 100555,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with working hours for order 103405,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with order tracking for order 105035,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with billing disputes for order 102770,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with payment methods for order 104595,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with order tracking for order 102305,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with account recovery for order 101235,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with order tracking for order 102760,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with technical troubleshooting for order 100245,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with payment methods for order 104205,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with refund policy for order 104675,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with working hours for order 101780,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with password reset for order 103125,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with data privacy for order 101315,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with order tracking for order 100810,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with billing disputes for order 100625,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with data privacy for order 105150,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with order tracking for order 100485,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 102480,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with account recovery for order 104550,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with technical troubleshooting for order 104145,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with password reset for order 100655,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with account recovery for order 101820,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with password reset for order 102995,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with product return for order 104050,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with shipping delays for order 100100,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with data privacy for order 103265,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with billing disputes for order 103615,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with technical troubleshooting for order 101350,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with refund policy for order 104545,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with account recovery for order 102860,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with subscription cancellation for order 103910,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 101330,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with escalation matrix for order 102395,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with technical troubleshooting for order 103365,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with data privacy for order 101055,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with subscription cancellation for order 101115,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with shipping delays for order 101595,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with technical troubleshooting for order 101740,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with subscription cancellation for order 104040,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with working hours for order 105355,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with technical troubleshooting for order 102585,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with product return for order 100865,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with technical troubleshooting for order 103950,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with data privacy for order 104760,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with shipping delays for order 104260,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with data privacy for order 104890,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with shipping delays for order 103090,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with password reset for order 101175,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with account recovery for order 102405,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 102810,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with escalation matrix for order 104085,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with subscription cancellation for order 104690,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with password reset for order 104750,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with payment methods for order 101995,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with technical troubleshooting for order 102910,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with account recovery for order 103575,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with working hours for order 100350,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with data privacy for order 102615,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with order tracking for order 102890,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with working hours for order 100090,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with subscription cancellation for order 105015,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with technical troubleshooting for order 104405,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with shipping delays for order 102895,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with technical troubleshooting for order 101480,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with escalation matrix for order 103305,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with technical troubleshooting for order 103755,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with technical troubleshooting for order 101545,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with password reset for order 100915,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with password reset for order 101370,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with data privacy for order 100925,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with product return for order 100605,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with working hours for order 103080,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with account recovery for order 102990,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with data privacy for order 100210,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with billing disputes for order 105175,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with account recovery for order 105005,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with working hours for order 103535,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with password reset for order 100135,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with product return for order 100670,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with data privacy for order 104240,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with shipping delays for order 102700,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with escalation matrix for order 104670,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with order tracking for order 100095,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with subscription cancellation for order 101765,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 105100,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with shipping delays for order 104585,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with working hours for order 105095,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with subscription cancellation for order 103780,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with order tracking for order 104190,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with product return for order 103855,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with order tracking for order 102045,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with escalation matrix for order 102135,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with order tracking for order 105360,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with password reset for order 104165,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with data privacy for order 103785,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with escalation matrix for order 101485,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with data privacy for order 103525,data_privacy,PRIVACY,Use the data privacy SOP and provide the correct next step.
I need help with payment methods for order 102515,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with billing disputes for order 102445,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with shipping delays for order 102570,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with refund policy for order 101620,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with product return for order 101580,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with product return for order 101840,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with refund policy for order 101945,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with password reset for order 100070,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with working hours for order 101260,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with technical troubleshooting for order 104665,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with product return for order 104440,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with shipping delays for order 103805,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with shipping delays for order 102505,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with billing disputes for order 104980,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with escalation matrix for order 101745,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with shipping delays for order 101075,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with subscription cancellation for order 104950,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with shipping delays for order 101400,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with working hours for order 100415,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with product return for order 102945,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with subscription cancellation for order 103065,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with subscription cancellation for order 100075,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with shipping delays for order 102960,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with technical troubleshooting for order 103625,technical_troubleshooting,TECHNICAL,Use the technical troubleshooting SOP and provide the correct next step.
I need help with shipping delays for order 103935,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with product return for order 101255,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with payment methods for order 101215,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with escalation matrix for order 103565,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with subscription cancellation for order 105210,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with shipping delays for order 101010,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with order tracking for order 103865,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with order tracking for order 100745,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with refund policy for order 103960,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with subscription cancellation for order 105275,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with account recovery for order 100195,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with working hours for order 103210,working_hours,GENERAL,Use the working hours SOP and provide the correct next step.
I need help with escalation matrix for order 100120,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with escalation matrix for order 102655,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with order tracking for order 103085,order_tracking,ORDERS,Use the order tracking SOP and provide the correct next step.
I need help with password reset for order 102215,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with account recovery for order 104095,account_recovery,ACCOUNT,Use the account recovery SOP and provide the correct next step.
I need help with password reset for order 100720,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with refund policy for order 103635,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with password reset for order 101305,password_reset,ACCOUNT,Use the password reset SOP and provide the correct next step.
I need help with billing disputes for order 104655,billing_disputes,BILLING,Use the billing disputes SOP and provide the correct next step.
I need help with refund policy for order 101295,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with shipping delays for order 100295,shipping_delays,ORDERS,Use the shipping delays SOP and provide the correct next step.
I need help with payment methods for order 104920,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with product return for order 100150,product_return,RETURNS,Use the product return SOP and provide the correct next step.
I need help with escalation matrix for order 101550,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with subscription cancellation for order 101505,subscription_cancellation,ACCOUNT,Use the subscription cancellation SOP and provide the correct next step.
I need help with escalation matrix for order 103630,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with escalation matrix for order 102915,escalation_matrix,ESCALATION,Use the escalation matrix SOP and provide the correct next step.
I need help with refund policy for order 101815,refund_policy,BILLING,Use the refund policy SOP and provide the correct next step.
I need help with payment methods for order 100175,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with payment methods for order 100045,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
I need help with payment methods for order 103620,payment_methods,BILLING,Use the payment methods SOP and provide the correct next step.
